step,loss,lr,step_time,total_time,vram_mb
0,2.851987838745117,1e-05,1.201521635055542,1.2135844230651855,2452.302734375
1,2.209263801574707,1e-05,0.06626462936401367,1.2867403030395508,2452.302734375
2,2.7023874521255493,1e-05,0.0671544075012207,1.3608391284942627,2452.302734375
3,3.3582446575164795,1e-05,0.06537961959838867,1.4332714080810547,2452.302734375
4,3.2680526971817017,1e-05,0.06473112106323242,1.5043554306030273,2452.302734375
5,3.6065152883529663,1e-05,0.06581377983093262,1.5763185024261475,2452.302734375
6,2.36284863948822,1e-05,0.06473612785339355,1.6469268798828125,2452.302734375
7,3.29537832736969,1e-05,0.06528329849243164,1.7184803485870361,2452.302734375
8,3.213400721549988,1e-05,0.06609416007995605,1.7907066345214844,2452.302734375
9,2.312238097190857,1e-05,0.06544852256774902,1.8619093894958496,2452.302734375
10,3.892987012863159,1e-05,0.06453514099121094,1.932025671005249,2452.302734375
11,3.5853105783462524,1e-05,0.06516766548156738,2.003464698791504,2452.302734375
12,3.7185821533203125,1e-05,0.06621479988098145,2.07585072517395,2452.302734375
13,3.5515390634536743,1e-05,0.06513452529907227,2.147129774093628,2452.302734375
14,2.8520658016204834,1e-05,0.06544971466064453,2.218703031539917,2452.302734375
15,2.9318898916244507,1e-05,0.06530475616455078,2.290163278579712,2452.302734375
16,3.3638967275619507,1e-05,0.06552958488464355,2.3618717193603516,2452.302734375
17,2.571174383163452,1e-05,0.06414961814880371,2.4319214820861816,2452.302734375
18,3.1379047632217407,1e-05,0.06458520889282227,2.502437114715576,2452.302734375
19,2.7993884086608887,1e-05,0.06589365005493164,2.5746049880981445,2452.302734375
20,3.312680721282959,1e-05,0.06504487991333008,2.645672082901001,2452.302734375
21,3.088473081588745,1e-05,0.06480026245117188,2.7165842056274414,2452.302734375
22,3.7125957012176514,1e-05,0.09087300300598145,2.813603639602661,2452.302734375
23,3.346178889274597,1e-05,0.07460904121398926,2.8932368755340576,2452.302734375
24,3.1150559186935425,1e-05,0.0689399242401123,2.967303514480591,2452.302734375
25,2.504515528678894,1e-05,0.06518936157226562,3.038602590560913,2452.302734375
26,3.173463463783264,1e-05,0.06611847877502441,3.1110496520996094,2452.302734375
27,2.9960649013519287,1e-05,0.06767392158508301,3.184523105621338,2452.302734375
28,2.84899365901947,1e-05,0.06721949577331543,3.2575509548187256,2452.302734375
